real,user,sys
0.616,4.594,0.016
0.563,4.078,0.047
0.693,5.297,0.000
0.647,4.953,0.000
0.637,4.844,0.016
0.699,5.313,0.078
0.641,4.813,0.047
30,1000,
0.653,4.828,0.000
0.654,4.969,0.000
0.678,5.203,0.016
0.649,4.859,0.016
0.690,5.313,0.063
0.702,5.328,0.031
0.688,5.297,0.063
0.630,4.781,0.016
0.634,4.734,0.063
0.653,4.906,0.031
30,10000,
0.644,4.813,0.063
0.628,4.703,0.031
0.656,5.063,0.000
0.678,5.203,0.047
0.570,4.156,0.047
0.674,5.172,0.031
0.678,5.094,0.047
0.600,4.594,0.031
0.643,4.938,0.016
0.614,4.609,0.031
30,100000,
0.653,4.938,0.047
0.697,5.156,0.047
0.655,5.000,0.016
0.629,4.641,0.000
0.625,4.750,0.031
0.612,4.516,0.063
0.624,4.797,0.031
0.556,4.172,0.031
0.641,4.797,0.078
0.727,5.531,0.063
30,1000000,
0.681,5.203,0.031
0.679,5.313,0.031
0.693,5.344,0.063
0.689,5.219,0.047
0.637,4.797,0.078
0.682,5.219,0.031
0.661,5.031,0.063
0.687,5.203,0.031
0.637,4.688,0.047
0.642,4.859,0.031
30,10000000,
0.680,5.141,0.031
0.595,4.328,0.047
0.653,4.984,0.016
0.668,5.078,0.031
0.677,5.109,0.063
0.681,5.141,0.047
0.568,4.156,0.016
0.646,4.891,0.016
0.590,4.281,0.016
0.678,4.813,0.063
30,100000000,
0.720,5.344,0.047
0.624,4.547,0.016
0.693,5.219,0.031
0.651,4.953,0.047
0.704,5.203,0.078
0.644,4.859,0.031
0.661,5.063,0.000
0.659,4.875,0.031
0.688,5.219,0.063
0.626,4.813,0.000
40,1,
2.922,5.609,17.094
2.847,5.641,16.672
2.968,5.703,17.844
2.884,5.938,16.828
2.976,6.422,16.938
2.921,5.500,17.609
2.879,5.781,16.859
2.920,6.359,16.719
2.979,5.672,17.797
2.870,5.656,16.922
40,10,
0.721,3.094,2.313
0.679,3.094,2.109
0.670,3.281,1.906
0.676,3.469,1.734
0.672,2.938,2.234
0.677,3.094,2.078
0.686,3.063,2.156
0.680,3.000,2.344
0.664,3.000,1.938
0.678,3.016,2.250
40,100,
0.783,5.844,0.109
0.565,4.234,0.016
0.680,5.172,0.000
0.744,5.688,0.063
0.606,4.500,0.000
0.656,4.922,0.016
0.601,4.563,0.047
0.596,4.344,0.031
